sample,input,output
0,0,0
1,753,0
2,1502,-1
3,2242,-2
4,2970,-4
5,3681,-7
6,4371,-11
7,5036,-15
8,5672,-21
9,6276,-28
10,6845,-36
11,7375,-44
12,7862,-54
13,8305,-63
14,8701,-71
15,9048,-78
16,9343,-82
17,9585,-82
18,9772,-75
19,9904,-60
20,9980,-36
21,9999,1
22,9961,54
23,9866,123
24,9716,212
25,9510,324
26,9250,460
27,8938,622
28,8575,812
29,8163,1031
30,7705,1279
31,7203,1556
32,6660,1862
33,6079,2196
34,5463,2555
35,4817,2937
36,4143,3339
37,3446,3757
38,2729,4188
39,1997,4625
40,1253,5066
41,502,5503
42,-251,5933
43,-1003,6350
44,-1750,6748
45,-2486,7123
46,-3209,7470
47,-3913,7784
48,-4595,8062
49,-5251,8299
50,-5877,8493
51,-6470,8641
52,-7026,8742
53,-7542,8793
54,-8015,8793
55,-8443,8744
56,-8822,8643
57,-9152,8492
58,-9429,8292
59,-9653,8043
60,-9822,7747
61,-9936,7407
62,-9992,7024
63,-9992,6600
64,-9936,6138
65,-9822,5640
66,-9653,5111
67,-9429,4552
68,-9152,3967
69,-8822,3360
70,-8443,2734
71,-8015,2092
72,-7542,1439
73,-7026,777
74,-6470,111
75,-5877,-556
76,-5251,-1220
77,-4595,-1876
78,-3913,-2523
79,-3209,-3154
80,-2486,-3768
81,-1750,-4361
82,-1003,-4928
83,-251,-5468
84,502,-5976
85,1253,-6451
86,1997,-6889
87,2729,-7288
88,3446,-7645
89,4143,-7959
90,4817,-8228
91,5463,-8450
92,6079,-8624
93,6660,-8749
94,7203,-8824
95,7705,-8849
96,8163,-8824
97,8575,-8749
98,8938,-8624
99,9250,-8450
100,9510,-8228
101,9716,-7959
102,9866,-7645
103,9961,-7288
104,9999,-6889
105,9980,-6451
106,9904,-5976
107,9772,-5468
108,9585,-4928
109,9343,-4361
110,9048,-3768
111,8701,-3154
112,8305,-2523
113,7862,-1876
114,7375,-1220
115,6845,-556
116,6276,111
117,5672,777
118,5036,1439
119,4371,2092
120,3681,2734
121,2970,3360
122,2242,3967
123,1502,4552
124,753,5111
125,0,5640
126,-753,6138
127,-1502,6600
128,-2242,7026
129,-2970,7411
130,-3681,7754
131,-4371,8053
132,-5036,8306
133,-5672,8513
134,-6276,8670
135,-6845,8779
136,-7375,8837
137,-7862,8846
138,-8305,8804
139,-8701,8712
140,-9048,8571
141,-9343,8380
142,-9585,8143
143,-9772,7859
144,-9904,7530
145,-9980,7159
146,-9999,6746
147,-9961,6296
148,-9866,5810
149,-9716,5290
150,-9510,4741
151,-9250,4165
152,-8938,3565
153,-8575,2945
154,-8163,2308
155,-7705,1658
156,-7203,998
157,-6660,333
158,-6079,-334
159,-5463,-999
160,-4817,-1659
161,-4143,-2309
162,-3446,-2946
163,-2729,-3566
164,-1997,-4166
165,-1253,-4742
166,-502,-5291
167,251,-5811
168,1003,-6297
169,1750,-6747
170,2486,-7160
171,3209,-7531
172,3913,-7860
173,4595,-8144
174,5251,-8381
175,5877,-8572
176,6470,-8713
177,7026,-8805
178,7542,-8847
179,8015,-8838
180,8443,-8780
181,8822,-8671
182,9152,-8514
183,9429,-8307
184,9653,-8054
185,9822,-7755
186,9936,-7412
187,9992,-7027
188,9992,-6601
189,9936,-6139
190,9822,-5641
191,9653,-5112
192,9429,-4553
193,9152,-3968
194,8822,-3361
195,8443,-2735
196,8015,-2093
197,7542,-1440
198,7026,-778
199,6470,-112
200,5877,555
201,5251,1219
202,4595,1875
203,3913,2522
204,3209,3153
205,2486,3767
206,1750,4360
207,1003,4927
208,251,5467
209,-502,5975
210,-1253,6450
211,-1997,6888
212,-2729,7287
213,-3446,7644
214,-4143,7958
215,-4817,8227
216,-5463,8449
217,-6079,8623
218,-6660,8748
219,-7203,8823
220,-7705,8848
221,-8163,8823
222,-8575,8748
223,-8938,8623
224,-9250,8449
225,-9510,8227
226,-9716,7958
227,-9866,7644
228,-9961,7287
229,-9999,6888
230,-9980,6450
231,-9904,5975
232,-9772,5467
233,-9585,4927
234,-9343,4360
235,-9048,3767
236,-8701,3153
237,-8305,2522
238,-7862,1875
239,-7375,1219
240,-6845,555
241,-6276,-112
242,-5672,-778
243,-5036,-1440
244,-4371,-2093
245,-3681,-2735
246,-2970,-3361
247,-2242,-3968
248,-1502,-4553
249,-753,-5112
