sample,input,output
0,4620,-4
1,4648,-8
2,4652,-13
3,4624,-18
4,4612,-24
5,4516,-30
6,4540,-37
7,4668,-44
8,4656,-51
9,4636,-58
10,4572,-62
11,4648,-64
12,4652,-62
13,4696,-54
14,4684,-39
15,4600,-16
16,4644,19
17,4600,65
18,4560,126
19,4540,201
20,4548,293
21,4560,402
22,4568,528
23,4580,671
24,4552,832
25,4552,1009
26,4580,1201
27,4568,1406
28,4520,1622
29,4592,1846
30,4592,2077
31,4520,2310
32,4516,2544
33,4524,2774
34,4528,2998
35,4452,3214
36,4620,3419
37,4504,3610
38,4484,3787
39,4504,3947
40,4508,4090
41,4524,4215
42,4496,4322
43,4500,4412
44,4524,4486
45,4548,4544
46,4588,4588
47,4636,4619
48,4620,4640
49,4556,4652
50,4544,4656
51,4592,4654
52,4528,4648
53,4608,4640
54,4692,4629
55,4652,4617
56,4572,4605
57,4648,4594
58,4712,4583
59,4704,4573
60,4712,4564
61,4660,4556
62,4624,4549
63,4664,4542
64,4656,4539
65,4548,4537
66,4480,4536
67,4568,4535
68,4724,4534
69,4692,4534
70,4708,4535
71,4680,4536
72,4612,4538
73,4584,4541
74,4676,4544
75,4612,4548
76,4624,4552
77,4692,4557
78,4660,4562
79,4672,4567
80,4640,4573
81,4600,4579
82,4516,4585
83,4516,4590
84,4572,4596
85,4560,4602
86,4536,4607
87,4608,4612
88,4572,4617
89,4640,4622
90,4644,4625
91,4616,4629
92,4588,4632
93,4488,4634
94,4548,4636
95,4552,4638
96,4516,4639
97,4488,4640
98,4600,4640
99,4544,4640
100,4584,4640
101,4620,4639
102,4596,4638
103,4528,4636
104,4548,4634
105,4652,4632
106,4624,4630
107,4676,4627
108,4616,4624
109,4616,4621
110,4628,4617
111,4624,4614
112,4612,4610
113,4744,4607
114,4704,4603
115,4764,4599
116,4792,4595
117,4712,4592
118,4740,4588
119,4816,4585
120,4844,4582
121,4804,4579
122,4824,4576
123,4804,4574
124,4728,4573
125,4784,4572
126,4804,4572
127,4728,4572
128,4772,4573
129,4832,4574
130,4728,4576
131,4732,4579
132,4792,4583
133,4804,4588
134,4824,4593
135,4760,4599
136,4920,4606
137,4844,4614
138,4776,4622
139,4732,4630
140,4684,4639
141,4724,4649
142,4740,4659
143,4760,4669
144,4868,4679
145,4872,4689
146,4764,4698
147,4760,4708
148,4768,4717
149,4804,4726
150,4744,4734
151,4844,4742
152,4736,4749
153,4732,4755
154,4640,4761
155,4740,4766
156,4724,4771
157,4636,4774
158,4652,4778
159,4728,4780
160,4632,4782
161,4608,4784
162,4724,4785
163,4680,4786
164,4712,4787
165,4712,4787
166,4660,4787
167,4564,4787
168,4604,4786
169,4500,4785
170,4524,4785
171,4776,4783
172,4620,4782
173,4572,4780
174,4552,4778
175,4556,4776
176,4500,4773
177,4560,4770
178,4588,4766
179,4552,4763
180,4488,4758
181,4524,4754
182,4564,4749
183,4536,4743
184,4448,4738
185,4436,4732
186,4452,4725
187,4416,4719
188,4512,4712
189,4404,4705
190,4396,4698
191,4424,4691
192,4536,4683
193,4556,4676
194,4560,4668
195,4580,4661
196,4576,4653
197,4536,4645
198,4516,4637
199,4564,4629
200,4516,4622
201,4564,4614
202,4532,4606
203,4500,4598
204,4536,4589
205,4612,4581
206,4564,4573
207,4600,4565
208,4612,4558
209,4664,4550
210,4632,4543
211,4608,4536
212,4608,4529
213,4588,4524
214,4656,4518
215,4584,4514
216,4596,4510
217,4684,4506
218,4680,4504
219,4676,4502
220,4648,4501
221,4696,4501
222,4628,4502
223,4612,4504
224,4636,4506
225,4588,4509
226,4584,4512
227,4628,4516
228,4660,4521
229,4644,4526
230,4552,4532
231,4540,4537
232,4620,4543
233,4584,4549
234,4496,4556
235,4500,4562
236,4560,4568
237,4672,4574
238,4592,4580
239,4584,4586
240,4588,4592
241,4604,4597
242,4596,4602
243,4548,4606
244,4596,4610
245,4628,4614
246,4692,4617
247,4516,4620
248,4520,4622
249,4532,4624
250,4480,4625
251,4448,4625
252,4588,4625
253,4580,4624
254,4528,4623
255,4452,4622
