Sample_Index,Raw_Accel_Z
0,4620
1,4648
2,4652
3,4624
4,4612
5,4516
6,4540
7,4668
8,4656
9,4636
10,4572
11,4648
12,4652
13,4696
14,4684
15,4600
16,4644
17,4600
18,4560
19,4540
20,4548
21,4560
22,4568
23,4580
24,4552
25,4552
26,4580
27,4568
28,4520
29,4592
30,4592
31,4520
32,4516
33,4524
34,4528
35,4452
36,4620
37,4504
38,4484
39,4504
40,4508
41,4524
42,4496
43,4500
44,4524
45,4548
46,4588
47,4636
48,4620
49,4556
50,4544
51,4592
52,4528
53,4608
54,4692
55,4652
56,4572
57,4648
58,4712
59,4704
60,4712
61,4660
62,4624
63,4664
64,4656
65,4548
66,4480
67,4568
68,4724
69,4692
70,4708
71,4680
72,4612
73,4584
74,4676
75,4612
76,4624
77,4692
78,4660
79,4672
80,4640
81,4600
82,4516
83,4516
84,4572
85,4560
86,4536
87,4608
88,4572
89,4640
90,4644
91,4616
92,4588
93,4488
94,4548
95,4552
96,4516
97,4488
98,4600
99,4544
100,4584
101,4620
102,4596
103,4528
104,4548
105,4652
106,4624
107,4676
108,4616
109,4616
110,4628
111,4624
112,4612
113,4744
114,4704
115,4764
116,4792
117,4712
118,4740
119,4816
120,4844
121,4804
122,4824
123,4804
124,4728
125,4784
126,4804
127,4728
128,4772
129,4832
130,4728
131,4732
132,4792
133,4804
134,4824
135,4760
136,4920
137,4844
138,4776
139,4732
140,4684
141,4724
142,4740
143,4760
144,4868
145,4872
146,4764
147,4760
148,4768
149,4804
150,4744
151,4844
152,4736
153,4732
154,4640
155,4740
156,4724
157,4636
158,4652
159,4728
160,4632
161,4608
162,4724
163,4680
164,4712
165,4712
166,4660
167,4564
168,4604
169,4500
170,4524
171,4776
172,4620
173,4572
174,4552
175,4556
176,4500
177,4560
178,4588
179,4552
180,4488
181,4524
182,4564
183,4536
184,4448
185,4436
186,4452
187,4416
188,4512
189,4404
190,4396
191,4424
192,4536
193,4556
194,4560
195,4580
196,4576
197,4536
198,4516
199,4564
200,4516
201,4564
202,4532
203,4500
204,4536
205,4612
206,4564
207,4600
208,4612
209,4664
210,4632
211,4608
212,4608
213,4588
214,4656
215,4584
216,4596
217,4684
218,4680
219,4676
220,4648
221,4696
222,4628
223,4612
224,4636
225,4588
226,4584
227,4628
228,4660
229,4644
230,4552
231,4540
232,4620
233,4584
234,4496
235,4500
236,4560
237,4672
238,4592
239,4584
240,4588
241,4604
242,4596
243,4548
244,4596
245,4628
246,4692
247,4516
248,4520
249,4532
250,4480
251,4448
252,4588
253,4580
254,4528
255,4452
256,4532
257,4604
258,4588
259,4580
260,4572
261,4568
262,4464
263,4576
264,4572
265,4556
266,4452
267,4532
268,4548
269,4556
270,4584
271,4552
272,4532
273,4540
274,4552
275,4448
276,4552
277,4664
278,4680
279,4612
280,4636
281,4676
282,4664
283,4652
284,4748
285,4756
286,4676
287,4736
288,4712
289,4716
290,4732
291,4708
292,4684
293,4748
294,4740
295,4720
296,4664
297,4712
298,4712
299,4712
300,4616
301,4664
302,4764
303,4676
304,4588
305,4704
306,4800
307,4792
308,4772
309,4744
310,4676
311,4644
312,4676
313,4640
314,4612
315,4652
316,4600
317,4608
318,4588
319,4728
320,4680
321,4608
322,4700
323,4740
324,4656
325,4672
326,4692
327,4604
328,4588
329,4596
330,4660
331,4588
332,4624
333,4608
334,4592
335,4564
336,4548
337,4560
338,4520
339,4632
340,4596
341,4580
342,4492
343,4548
344,4536
345,4540
346,4504
347,4516
348,4576
349,4504
350,4480
351,4464
352,4436
353,4480
354,4504
355,4484
356,4404
357,4380
358,4544
359,4512
360,4472
361,4376
362,4392
363,4484
364,4376
365,4392
366,4388
367,4436
368,4452
369,4484
370,4524
371,4444
372,4396
373,4396
374,4508
375,4468
376,4520
377,4500
378,4436
379,4532
380,4520
381,4444
382,4516
383,4568
384,4532
385,4448
386,4556
387,4636
388,4608
389,4604
390,4548
391,4640
392,4648
393,4580
394,4624
395,4700
396,4716
397,4696
398,4708
399,4720
400,4812
401,4784
402,4696
403,4652
404,4748
405,4696
406,4700
407,4720
408,4816
409,4768
410,4760
411,4724
412,4716
413,4656
414,4564
415,4616
416,4616
417,4664
418,4644
419,4632
420,4672
421,4692
422,4592
423,4648
424,4664
425,4636
426,4636
427,4620
428,4612
429,4628
430,4624
431,4620
432,4692
433,4628
434,4596
435,4592
436,4700
437,4652
438,4668
439,4572
440,4620
441,4604
442,4564
443,4576
444,4496
445,4504
446,4464
447,4520
448,4648
449,4568
450,4524
451,4496
452,4488
453,4508
454,4608
455,4504
456,4464
457,4472
458,4556
459,4472
460,4532
461,4412
462,4448
463,4520
464,4536
465,4500
466,4444
467,4408
468,4440
469,4548
470,4576
471,4560
472,4608
473,4648
474,4616
475,4636
476,4608
477,4720
478,4708
479,4692
480,4724
481,4732
482,4620
483,4676
484,4768
485,4656
486,4656
487,4756
488,4732
489,4764
490,4820
491,4812
492,4744
493,4756
494,4720
495,4748
496,4724
497,4712
498,4644
499,4652
500,4760
501,4696
502,4664
503,4636
504,4628
505,4612
506,4636
507,4560
508,4556
509,4524
510,4560
511,4560
512,4512
513,4536
514,4560
515,4532
516,4484
517,4460
518,4508
519,4520
520,4480
521,4560
522,4436
523,4404
524,4568
525,4520
526,4516
527,4492
528,4464
529,4512
530,4452
531,4464
532,4492
533,4460
534,4476
535,4536
536,4472
537,4524
538,4520
539,4584
540,4504
541,4608
542,4604
543,4536
544,4480
545,4508
546,4568
547,4552
548,4676
549,4548
550,4492
551,4552
552,4600
553,4608
554,4628
555,4636
556,4548
557,4456
558,4544
559,4612
560,4572
561,4688
562,4656
563,4640
564,4524
565,4548
566,4512
567,4608
568,4648
569,4616
570,4648
571,4644
572,4592
573,4596
574,4480
575,4692
576,4620
577,4520
578,4544
579,4572
580,4680
581,4664
582,4640
583,4636
584,4572
585,4632
586,4652
587,4632
588,4648
589,4576
590,4604
591,4608
592,4644
593,4472
594,4480
595,4528
596,4576
597,4640
598,4552
599,4568
600,4596
601,4668
602,4716
603,4680
604,4560
605,4588
606,4616
607,4636
608,4680
609,4576
610,4668
611,4688
612,4644
613,4608
614,4660
615,4668
616,4652
617,4600
618,4584
619,4584
620,4564
621,4520
622,4496
623,4596
624,4520
625,4648
626,4640
627,4520
628,4580
629,4656
630,4548
631,4592
632,4596
633,4416
634,4488
635,4636
636,4652
637,4640
638,4644
639,4632
640,4584
641,4616
642,4624
643,4536
644,4612
645,4632
646,4692
647,4748
648,4632
649,4596
650,4616
651,4652
652,4624
653,4604
654,4672
655,4720
656,4516
657,4552
658,4616
659,4556
660,4608
661,4516
662,4452
663,4480
664,4592
665,4572
666,4520
667,4544
668,4548
669,4568
670,4468
671,4552
672,4540
673,4436
674,4424
675,4564
676,4488
677,4432
678,4456
679,4484
680,4476
681,4544
682,4580
683,4472
684,4428
685,4428
686,4480
687,4532
688,4496
689,4544
690,4588
691,4440
692,4512
693,4584
694,4564
695,4484
696,4436
697,4524
698,4572
699,4540
700,4488
701,4416
702,4532
703,4680
704,4620
705,4640
706,4644
707,4636
708,4608
709,4632
710,4648
711,4716
712,4620
713,4684
714,4520
715,4540
716,4624
717,4600
718,4688
719,4828
720,4640
721,4728
722,4748
723,4740
724,4704
725,4752
726,4740
727,4676
728,4716
729,4712
730,4720
731,4676
732,4736
733,4668
734,4684
735,4628
736,4572
737,4592
738,4740
739,4724
740,4700
741,4564
742,4624
743,4580
744,4644
745,4644
746,4608
747,4620
748,4628
749,4616
750,4640
751,4644
752,4648
753,4636
754,4636
755,4604
756,4616
757,4692
758,4708
759,4600
760,4584
761,4656
762,4540
763,4540
764,4588
765,4556
766,4672
767,4568
768,4512
769,4472
770,4532
771,4572
772,4564
773,4512
774,4508
775,4652
776,4608
777,4644
778,4600
779,4616
780,4660
781,4580
782,4536
783,4688
784,4656
785,4656
786,4744
787,4796
788,4748
789,4740
790,4604
791,4596
792,4588
793,4668
794,4688
795,4616
796,4688
797,4676
798,4804
799,4684
800,4776
801,4772
802,4596
803,4584
804,4608
805,4688
806,4712
807,4704
808,4588
809,4488
810,4564
811,4584
812,4580
813,4540
814,4520
815,4516
816,4536
817,4576
818,4548
819,4604
820,4640
821,4640
822,4492
823,4560
824,4584
825,4536
826,4584
827,4600
828,4492
829,4504
830,4504
831,4472
832,4476
833,4472
834,4520
835,4500
836,4540
837,4552
838,4464
839,4556
840,4604
841,4436
842,4428
843,4508
844,4444
845,4448
846,4456
847,4408
848,4456
849,4632
850,4600
851,4580
852,4540
853,4580
854,4508
855,4508
856,4552
857,4492
858,4428
859,4504
860,4520
861,4560
862,4540
863,4600
864,4596
865,4616
866,4604
867,4600
868,4692
869,4664
870,4560
871,4516
872,4564
873,4612
874,4632
875,4616
876,4688
877,4656
878,4620
879,4656
880,4680
881,4696
882,4708
883,4592
884,4700
885,4668
886,4732
887,4684
888,4664
889,4712
890,4704
891,4712
892,4512
893,4492
894,4588
895,4616
896,4572
897,4536
898,4496
899,4632
900,4636
901,4576
902,4620
903,4580
904,4608
905,4532
906,4604
907,4556
908,4560
909,4596
910,4640
911,4672
912,4592
913,4552
914,4608
915,4684
916,4640
917,4528
918,4532
919,4544
920,4624
921,4624
922,4672
923,4516
924,4572
925,4608
926,4572
927,4572
928,4648
929,4600
930,4572
931,4568
932,4548
933,4576
934,4624
935,4668
936,4692
937,4700
938,4652
939,4632
940,4672
941,4648
942,4656
943,4748
944,4708
945,4704
946,4672
947,4664
948,4672
949,4696
950,4608
951,4664
952,4636
953,4688
954,4756
955,4784
956,4776
957,4684
958,4728
959,4724
960,4680
961,4712
962,4688
963,4752
964,4720
965,4704
966,4632
967,4612
968,4620
969,4600
970,4612
971,4672
972,4632
973,4608
974,4620
975,4588
976,4552
977,4572
978,4596
979,4536
980,4568
981,4576
982,4628
983,4600
984,4484
985,4580
986,4616
987,4604
988,4680
989,4688
990,4552
991,4528
992,4552
993,4512
994,4584
995,4620
996,4556
997,4712
998,4624
999,4624
